entity_id,metric_id,year,value
1448,total_appearances,,721
1740,total_appearances,,692
1931,total_appearances,,503
2374,total_appearances,,382
2344,total_appearances,,376
55878,total_appearances,,371
1180,total_appearances,,332
2513,total_appearances,,317
2146,total_appearances,,316
2456,total_appearances,,306
1256,total_appearances,,277
2421,total_appearances,,248
1514,total_appearances,,247
2351,total_appearances,,239
1503,total_appearances,,225
1471,total_appearances,,223
1027,total_appearances,,202
1215,total_appearances,,194
2099,total_appearances,,190
2006,total_appearances,,189
51769,total_appearances,,189
1943,total_appearances,,188
1142,total_appearances,,184
1576,total_appearances,,181
2715,total_appearances,,180
2065,total_appearances,,175
1809,total_appearances,,170
1760,total_appearances,,170
2178,total_appearances,,164
1140,total_appearances,,164
2015,total_appearances,,164
1874,total_appearances,,160
1084,total_appearances,,160
2168,total_appearances,,157
1226,total_appearances,,157
119342,total_appearances,,156
2170,total_appearances,,155
1958,total_appearances,,152
2494,total_appearances,,150
2067,total_appearances,,149
1316,total_appearances,,146
9967,total_appearances,,146
2072,total_appearances,,146
101355,total_appearances,,145
2543,total_appearances,,145
2320,total_appearances,,144
1933,total_appearances,,143
2175,total_appearances,,140
7991,total_appearances,,137
2225,total_appearances,,136
2061,total_appearances,,133
2737,total_appearances,,133
1464,total_appearances,,132
37620,total_appearances,,129
4011,total_appearances,,126
2125,total_appearances,,121
27860,total_appearances,,121
1146,total_appearances,,119
1254,total_appearances,,119
2474,total_appearances,,116
1786,total_appearances,,116
1141,total_appearances,,115
1025,total_appearances,,115
2484,total_appearances,,113
1091,total_appearances,,111
4703,total_appearances,,111
9851,total_appearances,,110
1984,total_appearances,,109
1825,total_appearances,,108
5513,total_appearances,,108
1610,total_appearances,,107
2389,total_appearances,,107
1877,total_appearances,,107
2314,total_appearances,,102
1138,total_appearances,,100
1955,total_appearances,,99
4149,total_appearances,,98
1745,total_appearances,,96
1207,total_appearances,,96
1120,total_appearances,,94
1748,total_appearances,,92
2520,total_appearances,,92
44158,total_appearances,,92
1573,total_appearances,,91
24456,total_appearances,,91
1341,total_appearances,,89
1529,total_appearances,,88
2028,total_appearances,,88
1776,total_appearances,,86
3891,total_appearances,,85
2385,total_appearances,,84
15203,total_appearances,,82
2294,total_appearances,,81
2632,total_appearances,,79
7720,total_appearances,,78
1622,total_appearances,,77
2508,total_appearances,,76
9518,total_appearances,,76
1107,total_appearances,,76
1197,total_appearances,,75
1747,total_appearances,,74
3333,total_appearances,,73
2610,total_appearances,,73
2742,total_appearances,,73
2363,total_appearances,,73
1434,total_appearances,,72
2143,total_appearances,,72
1270,total_appearances,,72
2339,total_appearances,,71
10092,total_appearances,,71
2481,total_appearances,,70
1627,total_appearances,,69
2059,total_appearances,,69
1066,total_appearances,,69
1530,total_appearances,,69
2100,total_appearances,,68
2449,total_appearances,,68
117507,total_appearances,,68
1355,total_appearances,,67
2526,total_appearances,,67
3145,total_appearances,,67
2504,total_appearances,,66
5625,total_appearances,,66
2188,total_appearances,,65
1365,total_appearances,,65
5417,total_appearances,,65
1769,total_appearances,,64
2669,total_appearances,,64
104599,total_appearances,,64
2502,total_appearances,,63
2316,total_appearances,,63
1738,total_appearances,,63
1739,total_appearances,,63
10106,total_appearances,,63
2403,total_appearances,,63
2141,total_appearances,,62
2692,total_appearances,,62
1599,total_appearances,,62
1556,total_appearances,,61
10108,total_appearances,,61
57175,total_appearances,,61
2234,total_appearances,,60
1602,total_appearances,,60
1944,total_appearances,,59
2677,total_appearances,,59
2585,total_appearances,,59
8096,total_appearances,,57
8189,total_appearances,,57
1094,total_appearances,,57
