id,name,IDENTITY,EYE,HAIR,SEX,ALIVE,AT LARGE,FIRST APPEARANCE,Year
1448,Victor von Doom (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jul-62,1962
1740,Norman Osborn (Earth-616),Public Identity,Blue Eyes,Auburn Hair,Male Characters,Living Characters,No,Jul-64,1964
1931,Wilson Fisk (Earth-616),Public Identity,Blue Eyes,Bald,Male Characters,Living Characters,Yes,Jul-67,1967
2374,Sabretooth (Victor Creed),Secret Identity,Amber Eyes,Blond Hair,Male Characters,Living Characters,No,Aug-77,1977
2344,Johann Shmidt (Earth-616),Public Identity,Blue Eyes,Blond Hair,Male Characters,Deceased Characters,No,Aug-41,1941
55878,Raven Darkholme (Earth-616),Secret Identity,Yellow Eyes,Red Hair,Female Characters,Living Characters,Yes,Apr-78,1978
1180,Felicia Hardy (Earth-616),Public Identity,,Blond Hair,Female Characters,Living Characters,No,Jul-79,1979
2513,MacDonald Gargan (Earth-616),Secret Identity,Brown Eyes,Bald,Male Characters,Living Characters,No,Dec-64,1964
2146,Mephisto (Earth-616),No Dual Identity,White Eyes,Black Hair,Male Characters,Living Characters,No,Dec-68,1968
2456,Thanos (Earth-616),No Dual Identity,Red Eyes,No Hair,Male Characters,Living Characters,Yes,Feb-73,1973
1256,Bullseye (Lester) (Earth-616),Secret Identity,Blue Eyes,Blond Hair,Male Characters,Living Characters,No,Mar-76,1976
2421,Adrian Toomes (Earth-616),Public Identity,Hazel Eyes,Bald,Male Characters,Living Characters,No,May-63,1963
1514,Amora (Earth-616),Public Identity,Green Eyes,Blond Hair,Female Characters,Living Characters,No,Apr-64,1964
2351,Aleksei Sytsevich (Earth-616),Secret Identity,Brown Eyes,Brown Hair,Male Characters,Deceased Characters,No,Oct-66,1966
1503,Maxwell Dillon (Earth-616),Public Identity,Blue Eyes,Auburn Hair,Male Characters,Living Characters,Yes,Feb-64,1964
1471,Vlad Dracula (Earth-616),No Dual Identity,Red Eyes,White Hair,Male Characters,Living Characters,Yes,Mar-51,1951
1027,Carl Creel (Earth-616),Public Identity,Blue Eyes,Bald,Male Characters,Living Characters,No,Apr-64,1964
1215,Frederick Dukes (Earth-616),Public Identity,Brown Eyes,Brown Hair,Male Characters,Living Characters,Yes,Jan-64,1964
2099,Mandarin (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Deceased Characters,No,Feb-64,1964
2006,The Wizard (Earth-616),Public Identity,Hazel Eyes,Brown Hair,Male Characters,Living Characters,Yes,Nov-62,1962
51769,Akihiro (Earth-616),Secret Identity,Blue Eyes,Black Hair,Male Characters,Living Characters,No,Oct-06,2006
1943,Sergei Kravinoff (Earth-616),Public Identity,Brown Eyes,Black Hair,Male Characters,Deceased Characters,No,Aug-64,1964
